@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
6,4.227683,4.857143,4.809524,2.745315,-1.482368,4.484848,6.195076,1.623434,-2.604249,-1.121881,2.758755,4.855636,1.284355,-2.943328,-1.460959,-0.339079,1.518744,2.516374,Spot
4,4.047621,5.142857,9.476191,2.63912,-1.408501,4.090909,6.772727,1.60703,-2.440591,-1.03209,2.571985,4.487962,1.280636,-2.766984,-1.358484,-0.326394,1.508612,2.508542,Spot
6,3.504938,4.142857,3.809524,2.401084,-1.103854,3.757576,5.314394,1.569876,-1.935062,-0.831208,2.385214,4.479937,1.275644,-2.229294,-1.12544,-0.294232,1.486829,2.48006,Spot
2,2.671819,3.714286,1.571429,2.095921,-0.575898,2.515152,3.007576,1.516306,-1.155513,-0.579615,2.143969,4.045598,1.269337,-1.402482,-0.826584,-0.246969,1.472644,2.46732,Spot
2,3.180757,2.428571,5.619048,2.549881,-0.630876,3.69697,5.530303,1.618144,-1.562613,-0.931737,2.634241,4.709448,1.300037,-1.88072,-1.249844,-0.318107,1.523303,2.526319,Spot
7,4.128388,5.142857,5.142857,2.788039,-1.340348,4.181818,6.715909,1.649192,-2.479196,-1.138847,2.875486,4.992249,1.298794,-2.829594,-1.489246,-0.350398,1.538501,2.558831,Spot
8,4.688634,6.571429,8.952381,2.884639,-1.803995,4.636364,6.676136,1.658242,-3.030392,-1.226397,2.910506,4.855241,1.296215,-3.392419,-1.588424,-0.362027,1.543566,2.541183,Spot
11,4.65384,6.714286,9.238095,2.816103,-1.837737,4.454545,8.380682,1.643623,-3.010216,-1.17248,2.801556,5.120623,1.292247,-3.361592,-1.523856,-0.351376,1.529382,2.522958,Spot
6,4.051315,5.714286,12.904762,2.60201,-1.449305,4.181818,7.278409,1.606909,-2.444406,-0.995101,2.548638,4.678289,1.286989,-2.764326,-1.315021,-0.31992,1.513171,2.513511,Spot
4,3.120462,3.142857,2.142857,2.297121,-0.823342,3.272727,6.329545,1.552289,-1.568173,-0.744832,2.280156,4.264956,1.2804,-1.840063,-1.016721,-0.271889,1.494934,2.511632,Spot
