@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
3,2.148013,2.142857,2.809524,1.918412,-0.229601,2.242424,3.314394,1.808767,-0.339247,-0.109646,1.838298,2.896818,1.784573,-0.36344,-0.133839,-0.024194,1.696277,2.080895,NotSpot
4,2.180217,2.285714,1.238095,1.92645,-0.253767,2.212121,3.234848,1.811613,-0.368603,-0.114837,1.965957,2.879178,1.782166,-0.398051,-0.144284,-0.029447,1.709993,2.067475,NotSpot
2,2.191507,2.428571,2.285714,1.919604,-0.271903,2.424242,2.689394,1.812519,-0.378987,-0.107085,1.817021,2.551846,1.779883,-0.411624,-0.139721,-0.032637,1.722404,2.0974,NotSpot
3,2.200089,2.142857,1.142857,1.904944,-0.295145,2.30303,2.405303,1.810771,-0.389319,-0.094174,1.765957,2.368067,1.777729,-0.422361,-0.127216,-0.033042,1.728282,2.099977,NotSpot
2,2.189875,1.857143,1.47619,1.885574,-0.3043,2.575758,2.564394,1.80676,-0.383115,-0.078814,1.787234,2.219494,1.775669,-0.414206,-0.109906,-0.031091,1.715219,2.100546,NotSpot
1,2.218096,3.285714,3.571429,1.864749,-0.353347,2.181818,2.403409,1.800348,-0.417747,-0.0644,1.787234,2.210948,1.773756,-0.44434,-0.090993,-0.026593,1.704768,2.102324,NotSpot
7,2.199501,2.142857,5.476191,1.845546,-0.353955,2.151515,2.382576,1.791817,-0.407684,-0.053729,1.770213,2.092271,1.772148,-0.427353,-0.073398,-0.019669,1.705421,2.091598,NotSpot
1,2.01966,2.428571,6.619048,1.825153,-0.194506,1.969697,2.405303,1.781812,-0.237847,-0.043341,1.73617,2.024113,1.770622,-0.249038,-0.054531,-0.01119,1.676682,2.020234,NotSpot
0,1.934043,1.857143,1.809524,1.796337,-0.137706,2.181818,2.778409,1.771117,-0.162927,-0.02522,1.676596,2.006074,1.769301,-0.164743,-0.027036,-0.001816,1.662312,1.949291,NotSpot
4,1.959879,1.714286,2.904762,1.755661,-0.204218,2.060606,2.121212,1.760968,-0.198911,0.005307,1.621277,1.962793,1.768105,-0.191774,0.012444,0.007137,1.654474,1.970076,NotSpot
1,1.850083,2.142857,1.47619,1.711871,-0.138212,1.818182,2.028409,1.753043,-0.09704,0.041172,1.634043,1.95952,1.767019,-0.083063,0.055148,0.013976,1.664272,2.002245,NotSpot
1,1.743344,1.285714,0.904762,1.680125,-0.063219,1.909091,1.710227,1.748299,0.004955,0.068175,1.582979,1.782615,1.765991,0.022647,0.085867,0.017692,1.65774,1.98605,NotSpot
1,1.778918,1.285714,0.904762,1.667337,-0.111581,1.969697,1.467803,1.747828,-0.03109,0.080491,1.548936,1.761484,1.764979,-0.013939,0.097642,0.017151,1.677335,2.051375,NotSpot
