@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
47005,35114.382813,-20144.792969,43412.429688,424678272,19961.873047,-15152.509766,-4891.032715,36423,459964640,10633.492188,-24480.890625,-9328.380859,-497.715576,19476.75,281065568,7689.443359,-27424.939453,-12272.429688,-2944.048828,-40.021545,9714.708984,74503240,Spot
65535,41436.394531,-30525.896484,54313.285156,213717792,21466.009766,-19970.384766,-5817.532227,43305.152344,412711712,10837.475586,-30598.917969,-10628.53418,-538.459595,20398.089844,277269920,7719.454102,-33716.941406,-13746.555664,-3118.021484,-41.125103,9821.517578,74383976,Spot
65535,36784.132813,-23163.525391,48654.144531,388750688,20868.839844,-15915.292969,-5134.196289,37353.546875,451150336,10869.139648,-25914.992188,-9999.700195,-534.727661,20532.705078,270342432,7741.719727,-29042.414063,-13127.120117,-3127.419922,-41.656158,9801.720703,74570504,Spot
25111,23304.158203,-7609.599609,26085.714844,180526176,16124.449219,-7179.708984,-2763.880127,23831.273438,349187264,10095.313477,-13208.844727,-6029.135742,-382.89325,16161.890625,253187856,7646.126953,-15658.03125,-8478.322266,-2449.186523,-37.578342,9552.092773,73815160,Spot
44600,32529.132813,-18761.398438,37232.855469,421610944,18616.746094,-13912.386719,-4312.060547,35752,422963776,10416.581055,-22112.550781,-8200.165039,-450.704254,17844.447266,260033264,7682.144043,-24846.988281,-10934.601563,-2734.437012,-39.112015,9667.319336,74264056,Spot
65535,36391.871094,-26929.814453,54823.714844,217609104,19678.207031,-16713.664063,-4850.117188,35939.425781,423838176,10600.955078,-25790.916016,-9077.251953,-484.989319,18706.152344,265644048,7711.038086,-28680.832031,-11967.168945,-2889.916992,-40.142933,9755.095703,74607400,Spot
21085,20173.203125,-6560.554688,22346.285156,406559040,14507.902344,-5665.300781,-2065.776611,20642.908203,340780576,9813.479492,-10359.723633,-4694.422852,-324.410522,14384.583984,221045152,7632.779297,-12540.423828,-6875.123047,-2180.700195,-36.365452,9457.126953,72167216,Spot
11305,25736.197266,-10801.117188,28549.714844,422781760,16383.645508,-9352.551758,-3100.139648,28734.03125,415877600,10098.826172,-15637.371094,-6284.819336,-381.291992,15999.704102,236284112,7667.307617,-18068.890625,-8716.337891,-2431.518555,-37.79546,9575.492188,72975696,Spot
6995,15402.693359,-3625.514404,19018.714844,406449920,12513.071289,-2889.62207,-1118.62854,14933,226604672,9471.875,-5930.818359,-3041.196289,-254.987213,12514.15918,164592112,7613.03418,-7789.65918,-4900.037109,-1858.84082,-34.837334,9318.779297,68722464,Spot
9025,21878.146484,2582.881348,14179.571289,150317344,17551.408203,-4326.738281,-2968.783203,23899.787109,425913824,10520.763672,-11357.382813,-7030.644531,-444.105652,18729.828125,320839168,7770.201172,-14107.945313,-9781.207031,-2750.5625,-39.985504,9775.756836,78300472,Spot
