@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
8,4.636057,-3.183107,10,6,7,12,2.501358,-2.134699,-0.66617,14,5.090909,4,16.460228,Spots
10,5.611862,-5.165909,14,8.571428,10,19.285715,2.671059,-2.940803,-0.799325,14,5.757576,5,17.751894,Spots
14,5.503632,-5.177203,14,8.714286,8,19.571428,2.62172,-2.881912,-0.791983,14,5.424242,5,18.126894,Spots
8,4.538382,-3.515084,14,6.857143,6,17.476191,2.37011,-2.168272,-0.657164,14,4.575758,4,12.001894,Spots
6,3.326449,-1.9332,8,4.571429,5,5.619048,1.991293,-1.335156,-0.458055,14,3.515152,3,9.070076,Spots
3,2.188254,-0.627408,6,2.857143,3,4.476191,1.57918,-0.609074,-0.261987,8,2.30303,2,4.842803,Spots
2,3.396249,-0.688105,10,4.428571,3,12.952381,2.392183,-1.004066,-0.511404,10,3.090909,2,8.335227,Spots
9,4.540442,-2.110905,9,5,5,8,2.709703,-1.830738,-0.710497,16,4.909091,3,19.085228,Spots
5,5.336231,-3.514634,14,8.142858,9,17.142857,2.845219,-2.491012,-0.823706,14,5.545455,4,20.693182,Spots
14,5.401371,-4.547324,14,8,10,29,2.756331,-2.64504,-0.804828,14,5.333333,4,17.479166,Spots
10,4.6451,-3.700578,14,7,6,16.333334,2.469273,-2.175827,-0.669776,14,4.454545,3,13.630682,Spots
6,3.509845,-2.357884,10,5.571429,6,6.952381,2.0614,-1.448445,-0.474427,14,3.484848,3,8.820076,Spots
5,2.369475,-1.108727,6,3,3,4.666667,1.625302,-0.744173,-0.279101,10,2.454545,2,5.193182,Spots
4,3.796991,-0.766922,6,2.571429,2,4.619048,2.578447,-1.218544,-0.594316,16,4.060606,3,18.371212,Spots
6,4.836073,-2.463054,16,7,6,26,2.845803,-1.990269,-0.757268,16,5.060606,3,20.058712,Spots
10,5.290785,-3.407339,14,7,6,21.666666,2.912517,-2.378268,-0.820054,16,5.272727,4,20.517046,Spots
10,5.043931,-3.557343,14,7.428571,10,23.285715,2.758845,-2.285086,-0.759893,14,5.151515,4,19.070076,Spots
5,4.22684,-2.721476,10,6.285714,7,11.571428,2.427826,-1.799013,-0.606927,14,4.272727,3,12.329545,Spots
7,3.167483,-1.813514,7,4.142857,4,3.809524,2.000484,-1.166999,-0.414708,10,3.181818,2,7.153409,Spots
4,2.099554,-0.765294,7,2.857143,1,6.142857,1.562855,-0.536699,-0.232176,7,1.909091,1,3.210227,Spots
4,4.626138,-2.448244,16,6.714286,4,41.238094,2.714556,-1.911582,-0.710037,16,4.636364,3,20.988636,Spots
16,5.578425,-4.63665,16,8,6,25,2.907726,-2.670699,-0.822321,16,5.515152,4,21.070076,Spots
14,5.658405,-5.08983,16,9.285714,10,33.57143,2.884269,-2.774136,-0.815136,16,5.272727,4,18.517046,Spots
10,4.939204,-4.163607,14,8.571428,10,15.952381,2.652033,-2.287171,-0.692802,16,4.878788,3,21.484848,Spots
8,3.791821,-2.542992,10,5.285714,5,7.904762,2.274838,-1.516983,-0.506335,14,3.818182,2,13.278409,Spots
3,2.584108,-0.881836,8,3.285714,2,9.238095,1.83877,-0.745338,-0.313511,10,2.636364,2,5.551136,Spots
1,1.598466,0.080003,4,1.857143,1,2.142857,1.420327,-0.178139,-0.152059,8,1.757576,1,3.626894,Spots
3,5.02598,-2.521502,13,6,4,15.333333,2.748289,-2.277691,-0.796756,16,5.545455,4,20.255682,Spots
7,5.615872,-4.01333,16,7.571429,7,24.285715,2.858462,-2.757411,-0.84972,16,5.969697,4,21.280304,Spots
12,5.408985,-4.629339,14,8.857142,11,17.809525,2.747084,-2.661901,-0.773061,16,5.181818,4,17.34091,Spots
11,4.441171,-3.612104,12,6.142857,5,23.809525,2.447955,-1.993217,-0.595514,14,4.242424,3,15.501894,Spots
9,4.936591,-2.907316,11,5.428571,4,14.952381,2.625873,-2.310718,-0.779516,13,5,4,16.0625,Spots
8,5.058052,-3.297297,11,7,7,7,2.662756,-2.395296,-0.78008,16,5.242424,4,17.501894,Spots
