@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
2143,5787.879395,5018,5659133,5180.372559,-607.506836,6541.272949,7412820,4357.924805,-1429.95459,-822.447754,5020.276367,10561115,2943.82959,-2844.049805,-2236.542969,-1414.095215,3900.07959,11548662,NotSpot
6502,6487.264648,6706.428711,1435644.5,5363.139648,-1124.125,6702.939453,6996091.5,4233.230957,-2254.033691,-1129.908691,5275.242676,11560421,2791.612793,-3695.651855,-2571.526855,-1441.618164,3687.550537,11699087,NotSpot
4523,6484.909668,6511,6520998,5448.665527,-1036.244141,6927.757813,10522776,4363.075195,-2121.834473,-1085.590332,5196.812988,11773690,2910.370605,-3574.539063,-2538.294922,-1452.70459,3828.452637,11449914,NotSpot
4713,6210.191895,5991.143066,1222165.75,5369.001465,-841.19043,6659,13334232,4298.994629,-1911.197266,-1070.006836,5203.98291,12787121,2871.764893,-3338.427002,-2497.236572,-1427.229736,3781.759521,11176596,NotSpot
7276,6178.34082,6529.856934,2719383.25,5167.304688,-1011.036133,6473.878906,10107337,4185.122559,-1993.218262,-982.182129,4956.408691,11668908,2818.931885,-3359.408936,-2348.372803,-1366.190674,3708.067383,11169903,NotSpot
4373,5995.178223,6868.571289,5419819,4743.029297,-1252.148926,6296.90918,10729868,3864.830566,-2130.347656,-878.19873,4310.268066,9897137,2683.906738,-3311.271484,-2059.122559,-1180.923828,3425.295898,9815393,NotSpot
5235,4761.13916,4897.856934,1164621.75,4363.815918,-397.323242,4786.969727,8054018.5,3689.664795,-1071.474365,-674.151123,4272.961914,9096660,2612.802734,-2148.336426,-1751.013184,-1076.862061,3268.674072,9133426,NotSpot
3151,4788.542969,5895.428711,8039228,4087.321289,-701.22168,4716.605957,4343269.5,3383.890137,-1404.652832,-703.431152,3937.199951,8123786,2399.306396,-2389.236572,-1688.014893,-984.58374,2966.067871,8208642,NotSpot
2142,4495.350098,5260.571289,6202237.5,3955.740967,-539.609131,4670.484863,5100199,3402.53833,-1092.811768,-553.202637,3750.242432,6535513.5,2495.348633,-2000.001465,-1460.392334,-907.189697,3021.723145,7944604,NotSpot
3587,4046.213135,4811.428711,6422545,3732.161133,-314.052002,3912.302979,3806122,3312.303223,-733.909912,-419.85791,3700.348877,6859041,2461.258301,-1584.954834,-1270.902832,-851.044922,2957.580566,7672028.5,NotSpot
6072,4685.080566,6403.856934,4574961.5,3789.905762,-895.174805,4513.272949,6726167,3292.516113,-1392.564453,-497.389648,3587.13623,6882188,2449.269775,-2235.810791,-1340.635986,-843.246338,2920.531738,7334867.5,NotSpot
