@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'No Spots'}

@data
1,2.146464,0.143074,4,1.714286,1,1.904762,2.165664,0.019201,-0.127833,7,2.242424,2,3.064394,'No Spots'
3,1.83155,0.10061,4,1.714286,1,1.904762,1.992913,0.161362,-0.050673,5,1.666667,1,1.854167,'No Spots'
0,1.513715,-0.195907,5,2,1,4,1.657583,0.143868,0.006173,5,1.454545,1,2.068182,'No Spots'
1,1.837523,0.128913,3,1.857143,2,1.47619,1.92633,0.088807,-0.091863,6,1.727273,1,2.579545,'No Spots'
3,2.598185,-0.49022,6,2.428571,2,3.285714,2.208985,-0.3892,-0.234813,12,2.606061,2,6.558712,'No Spots'
6,3.449888,-2.351165,12,5.142857,3,12.476191,2.382677,-1.067211,-0.327251,12,3.121212,2,6.422348,'No Spots'
7,3.269556,-2.022972,7,4.285714,5,4.571429,2.369338,-0.900217,-0.291722,12,3.30303,3,6.217803,'No Spots'
1,2.251678,0.091353,7,2.285714,1,4.904762,2.199764,-0.051914,-0.16016,7,2.060606,1,3.871212,'No Spots'
1,1.608722,0.811981,3,0.857143,1,1.142857,1.985115,0.376393,-0.041282,7,1.818182,2,2.465909,'No Spots'
4,1.479135,-0.274588,4,1.285714,0,2.904762,1.614738,0.135604,0.014011,6,1.454545,1,3.005682,'No Spots'
3,1.684034,0.261494,4,1.571429,1,2.285714,1.871276,0.187241,-0.071819,6,1.666667,1,2.604167,'No Spots'
2,2.363926,-0.038522,4,2.142857,2,1.809524,2.151526,-0.212399,-0.213989,12,2.636364,2,6.176136,'No Spots'
2,3.229912,-1.557557,7,3.857143,3,4.476191,2.334616,-0.895296,-0.319984,12,3.545455,3,6.130682,'No Spots'
5,3.176327,-1.671232,7,3.714286,3,5.238095,2.331472,-0.844855,-0.298276,12,3.424242,2,8.064394,'No Spots'
2,2.190145,0.186959,5,1.857143,2,2.476191,2.161487,-0.028658,-0.166201,7,2.151515,2,3.382576,'No Spots'
0,1.480516,0.943449,3,1.285714,1,1.238095,1.93643,0.455914,-0.034568,6,1.484848,1,2.070076,'No Spots'
0,1.99023,0.491011,3,1.571429,2,1.619048,2.017725,0.027496,-0.160054,7,2,2,2.875,'No Spots'
2,2.627286,-0.465749,5,2.285714,2,2.238095,2.180544,-0.446742,-0.252333,7,2.818182,2,3.528409,'No Spots'
3,2.677872,-0.734137,5,3.142857,3,2.476191,2.186337,-0.491534,-0.245353,7,2.69697,2,3.342803,'No Spots'
4,6.762005,-1.108429,11,7,7,7.333333,5.917007,-0.844998,-0.563833,11,7.090909,7,6.772727,'No Spots'
