@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
12,20.293173,13.700864,6.938263,3.868872,2.893729,15.977831,16.964664,-3.328508,1.865601,1.442184,0.462298,-2.845487,4.599597,10.064923,-10.22825,-6.899741,0.180081,0.157006,0.113792,-0.450879,0.493383,7.577028,-12.716145,-9.387636,-2.487895,0.015417,0.007897,0.007094,-0.030408,0.023914,Spot
3,11.393638,10.806433,2.214271,0.259987,8.852148,7.802327,14.182574,2.788937,1.34466,1.277243,0.830185,-0.897602,4.163488,9.815712,-1.577926,-4.366862,0.168918,0.143866,0.078618,-0.391401,0.535939,7.559349,-3.834289,-6.623226,-2.256363,0.015287,0.007526,0.006545,-0.029358,0.028499,Spot
8,14.976748,11.82174,3.686026,1.944547,6.191168,10.360419,15.076084,0.099336,1.505436,1.173998,1.024949,-1.654485,4.247356,9.911002,-5.065746,-5.165082,0.178385,0.147931,0.078504,-0.40482,0.500253,7.578088,-7.398661,-7.497996,-2.332914,0.015442,0.007923,0.006767,-0.030133,0.022653,Spot
4,11.019807,7.911421,1.358372,0.137182,6.415868,4.960594,13.335119,2.315312,1.218141,0.985387,0.8484,-0.615646,3.450578,9.78789,-1.231916,-3.547229,0.183506,0.12677,0.045672,-0.355948,0.478236,7.611938,-3.407868,-5.723181,-2.175952,0.016446,0.008236,0.007358,-0.03204,0.037105,Spot
6,14.284258,12.314235,2.203717,1.161409,8.949109,10.120434,15.241721,0.957463,1.297726,1.146362,0.799766,-1.644322,3.946317,10.025812,-4.258446,-5.215909,0.194726,0.139177,0.074039,-0.407942,0.446304,7.635532,-6.648726,-7.606189,-2.39028,0.016538,0.008813,0.007845,-0.033195,0.031851,Spot
9,17.542276,12.77184,4.566473,1.799191,6.406177,13.376786,16.189785,-1.352491,1.480243,1.27666,0.486129,-2.270774,4.050944,10.135289,-7.406987,-6.054496,0.199411,0.144643,0.086458,-0.430512,0.424203,7.649848,-9.892428,-8.539937,-2.485441,0.016578,0.009223,0.007991,-0.033792,0.027673,Spot
11,16.886948,11.618482,5.397782,0.536319,5.684381,11.893097,15.722744,-1.164204,1.452862,1.155804,0.60765,-2.001016,3.92213,10.101922,-6.785026,-5.620822,0.196793,0.141488,0.080407,-0.418687,0.428714,7.654345,-9.232603,-8.068399,-2.447577,0.016562,0.009389,0.007847,-0.033798,0.025655,Spot
7,12.750014,8.909225,3.007226,0.8044,6.7064,7.289165,14.065031,1.315017,1.130699,0.982774,0.864019,-1.011944,3.537935,9.933108,-2.816906,-4.131923,0.187298,0.130017,0.058012,-0.375327,0.453145,7.649382,-5.100632,-6.415649,-2.283726,0.016492,0.009342,0.007399,-0.033232,0.026311,Spot
10,11.35578,6.892471,1.857661,0.081775,4.953033,5.579179,12.949634,1.593854,1.149337,0.918026,0.792,-0.560689,3.37798,9.703931,-1.651849,-3.245703,0.179133,0.121358,0.040112,-0.340603,0.492096,7.603136,-3.752644,-5.346498,-2.100795,0.016491,0.007793,0.007272,-0.031556,0.038738,Spot
8,17.85227,12.274863,4.321692,1.965068,5.988104,12.913097,16.049143,-1.803127,1.472208,1.280035,0.44673,-2.305514,4.086596,10.075744,-7.776526,-5.973399,0.196844,0.140946,0.0858,-0.423591,0.445022,7.635461,-10.216808,-8.413681,-2.440282,0.016635,0.008455,0.008195,-0.033284,0.032112,Spot
